spad_um,energy_GeV,n_events,bias_GeV,std_resid_GeV,rms_resid_GeV,frac_resid_std,frac_resid_rms,mean_pred_over_true,pred_csv
20,1.000000,1000,0.213884,0.566328,0.605370,0.566328,0.605370,1.213884,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,5.000000,1000,0.215286,2.040710,2.052034,0.408142,0.410407,1.043057,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,10.000000,1000,0.099583,2.620478,2.622370,0.262048,0.262237,1.009958,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,20.000000,1000,0.640193,3.919805,3.971740,0.195990,0.198587,1.032010,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,30.000000,1000,0.332534,4.490429,4.502725,0.149681,0.150091,1.011084,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,40.000000,1000,0.330102,5.515730,5.525599,0.137893,0.138140,1.008253,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,50.000000,1000,0.312698,6.187764,6.195660,0.123755,0.123913,1.006254,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,60.000000,1000,0.533320,6.885502,6.906125,0.114758,0.115102,1.008889,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,70.000000,1000,0.613989,7.569737,7.594597,0.108139,0.108494,1.008771,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,80.000000,1000,0.773243,8.125363,8.162072,0.101567,0.102026,1.009666,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,90.000000,1000,0.360368,8.255893,8.263754,0.091732,0.091819,1.004004,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,100.000000,1000,-0.780260,9.360617,9.393080,0.093606,0.093931,0.992197,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,110.000000,1000,-2.405600,8.026200,8.378950,0.072965,0.076172,0.978131,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
20,120.000000,900,-6.742914,7.868121,10.362153,0.065568,0.086351,0.943809,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20/pred_vqe_test_20x20.csv
50,1.000000,1000,0.267420,0.658899,0.711099,0.658899,0.711099,1.267420,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,5.000000,1000,0.287764,2.113328,2.132830,0.422666,0.426566,1.057553,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,10.000000,1000,0.252495,2.580235,2.592560,0.258023,0.259256,1.025250,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,20.000000,1000,0.912115,3.900310,4.005543,0.195016,0.200277,1.045606,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,30.000000,1000,0.750584,4.634606,4.694992,0.154487,0.156500,1.025019,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,40.000000,1000,0.553271,5.254705,5.283752,0.131368,0.132094,1.013832,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,50.000000,1000,0.482877,6.105728,6.124793,0.122115,0.122496,1.009658,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,60.000000,1000,0.823752,6.963620,7.012173,0.116060,0.116870,1.013729,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,70.000000,1000,0.541165,7.359739,7.379608,0.105139,0.105423,1.007731,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,80.000000,1000,0.728681,8.310934,8.342818,0.103887,0.104285,1.009109,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,90.000000,1000,0.354366,8.429652,8.437097,0.093663,0.093746,1.003937,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,100.000000,1000,-0.864207,9.817801,9.855763,0.098178,0.098558,0.991358,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,110.000000,1000,-2.518716,8.529753,8.893852,0.077543,0.080853,0.977103,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
50,120.000000,900,-7.138062,8.317020,10.960144,0.069309,0.091335,0.940516,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_50x50_model/NN_model_50x50/pred_vqe_test_50x50.csv
100,1.000000,1000,0.267540,0.732611,0.779934,0.732611,0.779934,1.267540,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,5.000000,1000,0.243759,2.093681,2.107824,0.418736,0.421565,1.048752,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,10.000000,1000,0.184387,2.764721,2.770863,0.276472,0.277086,1.018439,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,20.000000,1000,0.651193,4.067964,4.119755,0.203398,0.205988,1.032560,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,30.000000,1000,0.602934,4.544193,4.584018,0.151473,0.152801,1.020098,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,40.000000,1000,0.489701,5.486746,5.508556,0.137169,0.137714,1.012243,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,50.000000,1000,0.324994,6.201861,6.210370,0.124037,0.124207,1.006500,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,60.000000,1000,0.598309,7.031083,7.056494,0.117185,0.117608,1.009972,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,70.000000,1000,0.521280,7.329720,7.348233,0.104710,0.104975,1.007447,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,80.000000,1000,0.712152,8.371186,8.401424,0.104640,0.105018,1.008902,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,90.000000,1000,0.345756,8.375006,8.382140,0.093056,0.093135,1.003842,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,100.000000,1000,-0.696162,9.729857,9.754731,0.097299,0.097547,0.993038,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,110.000000,1000,-2.603560,8.463154,8.854575,0.076938,0.080496,0.976331,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
100,120.000000,900,-7.076911,8.118197,10.769763,0.067652,0.089748,0.941026,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_100x100_model/NN_model_100x100/pred_vqe_test_100x100.csv
200,1.000000,1000,0.261102,0.696884,0.744192,0.696884,0.744192,1.261102,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,5.000000,1000,0.285237,2.097229,2.116537,0.419446,0.423307,1.057047,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,10.000000,1000,0.154610,2.623482,2.628034,0.262348,0.262803,1.015461,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,20.000000,1000,0.695671,3.911742,3.973120,0.195587,0.198656,1.034784,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,30.000000,1000,0.688023,4.534465,4.586366,0.151149,0.152879,1.022934,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,40.000000,1000,0.565994,5.305979,5.336081,0.132649,0.133402,1.014150,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,50.000000,1000,0.612058,6.336204,6.365696,0.126724,0.127314,1.012241,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,60.000000,1000,0.998617,7.405846,7.472870,0.123431,0.124548,1.016644,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,70.000000,1000,1.298016,7.760172,7.867981,0.110860,0.112400,1.018543,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,80.000000,1000,1.351877,8.505404,8.612170,0.106318,0.107652,1.016898,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,90.000000,1000,0.903288,8.672463,8.719378,0.096361,0.096882,1.010037,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,100.000000,1000,-0.626170,10.041587,10.061091,0.100416,0.100611,0.993738,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,110.000000,1000,-2.715908,8.540078,8.961534,0.077637,0.081468,0.975310,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
200,120.000000,900,-7.781302,8.173897,11.285444,0.068116,0.094045,0.935156,/lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/pred_vqe_test_200x200.csv
